iter	Passed	Remaining
0	0	76
1	1	70
2	2	67
3	2	62
4	3	61
5	3	60
6	4	59
7	5	59
8	5	58
9	6	58
10	7	58
11	7	57
12	8	57
13	9	56
14	9	56
15	10	55
16	11	54
17	11	53
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	49
25	17	48
26	17	47
27	18	47
28	18	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	40
39	26	39
40	27	38
41	27	37
42	27	37
43	28	36
44	29	35
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	36	29
55	36	28
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	70	0
